model,checkpoint,acc
xiulinyang/MnGPT2-AR-10k,0,0.582716049382716
xiulinyang/MnGPT2-AR-10k,200,0.6551440329218107
xiulinyang/MnGPT2-AR-10k,400,0.6921810699588478
xiulinyang/MnGPT2-AR-10k,600,0.7111111111111111
xiulinyang/MnGPT2-AR-10k,800,0.7102880658436214
xiulinyang/MnGPT2-AR-10k,1000,0.739917695473251
xiulinyang/MnGPT2-AR-10k,1200,0.7242798353909465
xiulinyang/MnGPT2-AR-10k,1400,0.7308641975308642
xiulinyang/MnGPT2-AR-10k,1600,0.7283950617283951
xiulinyang/MnGPT2-AR-10k,1800,0.7382716049382716
xiulinyang/MnGPT2-AR-10k,2000,0.751440329218107
xiulinyang/MnGPT2-AR-10k,2200,0.7366255144032922
xiulinyang/MnGPT2-AR-10k,2400,0.7358024691358025
xiulinyang/MnGPT2-AR-10k,2600,0.7473251028806585
xiulinyang/MnGPT2-AR-10k,2800,0.7522633744855967
xiulinyang/MnGPT2-AR-10k,3000,0.7695473251028807
xiulinyang/MnGPT2-AR-10k,3200,0.7423868312757201
xiulinyang/MnGPT2-AR-10k,3400,0.7423868312757201
xiulinyang/MnGPT2-AR-10k,3600,0.7588477366255144
xiulinyang/MnGPT2-AR-10k,3800,0.745679012345679
xiulinyang/MnGPT2-AR-10k,4000,0.7613168724279835
xiulinyang/MnGPT2-AR-10k,4200,0.7539094650205761
xiulinyang/MnGPT2-AR-10k,4400,0.7382716049382716
xiulinyang/MnGPT2-AR-10k,4600,0.7613168724279835
xiulinyang/MnGPT2-AR-10k,4800,0.7489711934156379
xiulinyang/MnGPT2-AR-10k,5000,0.7423868312757201
xiulinyang/MnGPT2-AR-10k,5200,0.7374485596707819
xiulinyang/MnGPT2-AR-10k,5400,0.7563786008230453
xiulinyang/MnGPT2-AR-10k,5600,0.7497942386831276
xiulinyang/MnGPT2-AR-10k,5800,0.7415637860082305
xiulinyang/MnGPT2-AR-10k,6000,0.7407407407407407
xiulinyang/MnGPT2-AR-10k,6200,0.7193415637860082
xiulinyang/MnGPT2-AR-10k,6400,0.7596707818930041
xiulinyang/MnGPT2-AR-10k,6600,0.7349794238683127
xiulinyang/MnGPT2-AR-10k,6800,0.7662551440329218
xiulinyang/MnGPT2-AR-10k,7000,0.7234567901234568
xiulinyang/MnGPT2-AR-10k,7200,0.7251028806584362
xiulinyang/MnGPT2-AR-10k,7400,0.7333333333333333
xiulinyang/MnGPT2-AR-10k,7600,0.7185185185185186
xiulinyang/MnGPT2-AR-10k,7800,0.7506172839506173
xiulinyang/MnGPT2-AR-10k,8000,0.7226337448559671
xiulinyang/MnGPT2-AR-10k,8200,0.7209876543209877
xiulinyang/MnGPT2-AR-10k,8400,0.745679012345679
xiulinyang/MnGPT2-AR-10k,8600,0.7267489711934156
xiulinyang/MnGPT2-AR-10k,8800,0.7407407407407407
xiulinyang/MnGPT2-AR-10k,9000,0.702880658436214
