model,checkpoint,acc
xiulinyang/GPT2_FR_10000,1,0.8076923076923077
xiulinyang/GPT2_FR_10000,2,0.8618524332810047
xiulinyang/GPT2_FR_10000,3,0.8818681318681318
xiulinyang/GPT2_FR_10000,4,0.8893249607535322
xiulinyang/GPT2_FR_10000,5,0.9089481946624803
xiulinyang/GPT2_FR_10000,6,0.9191522762951334
xiulinyang/GPT2_FR_10000,7,0.9266091051805337
xiulinyang/GPT2_FR_10000,8,0.9270015698587127
xiulinyang/GPT2_FR_10000,9,0.9360282574568289
xiulinyang/GPT2_FR_10000,10,0.9391679748822606
xiulinyang/GPT2_FR_20000,1,0.7896389324960753
xiulinyang/GPT2_FR_20000,2,0.8547880690737834
xiulinyang/GPT2_FR_20000,3,0.8649921507064364
xiulinyang/GPT2_FR_20000,4,0.880298273155416
xiulinyang/GPT2_FR_20000,5,0.891287284144427
xiulinyang/GPT2_FR_20000,6,0.9034536891679749
xiulinyang/GPT2_FR_20000,7,0.9081632653061225
xiulinyang/GPT2_FR_20000,8,0.9132653061224489
xiulinyang/GPT2_FR_20000,9,0.9164050235478807
xiulinyang/GPT2_FR_20000,10,0.9179748822605965
xiulinyang/GPT2_FR_30000,1,0.8112244897959183
xiulinyang/GPT2_FR_30000,2,0.8685243328100472
xiulinyang/GPT2_FR_30000,3,0.8704866562009419
xiulinyang/GPT2_FR_30000,4,0.8889324960753532
xiulinyang/GPT2_FR_30000,5,0.8995290423861853
xiulinyang/GPT2_FR_30000,6,0.9062009419152276
xiulinyang/GPT2_FR_30000,7,0.9167974882260597
xiulinyang/GPT2_FR_30000,8,0.9179748822605965
xiulinyang/GPT2_FR_30000,9,0.923861852433281
xiulinyang/GPT2_FR_30000,10,0.9277864992150706
xiulinyang/GPT2_FR_5000,1,0.7947409733124019
xiulinyang/GPT2_FR_5000,2,0.8700941915227629
xiulinyang/GPT2_FR_5000,3,0.880690737833595
xiulinyang/GPT2_FR_5000,4,0.8995290423861853
xiulinyang/GPT2_FR_5000,5,0.9183673469387755
xiulinyang/GPT2_FR_5000,6,0.9222919937205651
xiulinyang/GPT2_FR_5000,7,0.9285714285714286
xiulinyang/GPT2_FR_5000,8,0.9375981161695447
xiulinyang/GPT2_FR_5000,9,0.9375981161695447
xiulinyang/GPT2_FR_5000,10,0.9387755102040817
xiulinyang/GPT2_FR_50000,1,0.8010204081632653
xiulinyang/GPT2_FR_50000,2,0.8567503924646782
xiulinyang/GPT2_FR_50000,3,0.8685243328100472
xiulinyang/GPT2_FR_50000,4,0.8877551020408163
xiulinyang/GPT2_FR_50000,5,0.8881475667189953
xiulinyang/GPT2_FR_50000,6,0.8952119309262166
xiulinyang/GPT2_FR_50000,7,0.902668759811617
xiulinyang/GPT2_FR_50000,8,0.9132653061224489
xiulinyang/GPT2_FR_50000,9,0.9187598116169545
xiulinyang/GPT2_FR_50000,10,0.9179748822605965
