model,checkpoint,acc
xiulinyang/GPT2_AR_200,1,0.7078189300411523
xiulinyang/GPT2_AR_200,2,0.7086419753086419
xiulinyang/GPT2_AR_200,3,0.7407407407407407
xiulinyang/GPT2_AR_200,4,0.7407407407407407
xiulinyang/GPT2_AR_200,5,0.7563786008230453
xiulinyang/GPT2_AR_200,6,0.7596707818930041
xiulinyang/GPT2_AR_200,7,0.7539094650205761
xiulinyang/GPT2_AR_200,8,0.7687242798353909
xiulinyang/GPT2_AR_200,9,0.7654320987654321
xiulinyang/GPT2_AR_200,10,0.7753086419753087
xiulinyang/GPT2_DE_200,1,0.7976501305483029
xiulinyang/GPT2_DE_200,2,0.8215839860748477
xiulinyang/GPT2_DE_200,3,0.8468233246301131
xiulinyang/GPT2_DE_200,4,0.8529155787641427
xiulinyang/GPT2_DE_200,5,0.856396866840731
xiulinyang/GPT2_DE_200,6,0.8672758920800696
xiulinyang/GPT2_DE_200,7,0.8777197563098347
xiulinyang/GPT2_DE_200,8,0.8768494342906875
xiulinyang/GPT2_DE_200,9,0.8894691035683203
xiulinyang/GPT2_DE_200,10,0.8855526544821584
xiulinyang/GPT2_EN_200,1,0.6922077922077922
xiulinyang/GPT2_EN_200,2,0.7116883116883117
xiulinyang/GPT2_EN_200,3,0.7337662337662337
xiulinyang/GPT2_EN_200,4,0.7779220779220779
xiulinyang/GPT2_EN_200,5,0.7896103896103897
xiulinyang/GPT2_EN_200,6,0.8194805194805195
xiulinyang/GPT2_EN_200,7,0.8116883116883117
xiulinyang/GPT2_EN_200,8,0.8428571428571429
xiulinyang/GPT2_EN_200,9,0.8636363636363636
xiulinyang/GPT2_EN_200,10,0.8662337662337662
xiulinyang/GPT2_TR_200,1,0.6871412169919633
xiulinyang/GPT2_TR_200,2,0.7543053960964409
xiulinyang/GPT2_TR_200,3,0.7571756601607348
xiulinyang/GPT2_TR_200,4,0.7944890929965557
xiulinyang/GPT2_TR_200,5,0.8191733639494834
xiulinyang/GPT2_TR_200,6,0.830654420206659
xiulinyang/GPT2_TR_200,7,0.8208955223880597
xiulinyang/GPT2_TR_200,8,0.8461538461538461
xiulinyang/GPT2_TR_200,9,0.8553386911595867
xiulinyang/GPT2_TR_200,10,0.8559127439724454
