model,checkpoint,acc
xiulinyang/GPT2_AR_10000,1,0.7020576131687243
xiulinyang/GPT2_AR_10000,2,0.7094650205761317
xiulinyang/GPT2_AR_10000,3,0.7374485596707819
xiulinyang/GPT2_AR_10000,4,0.7325102880658436
xiulinyang/GPT2_AR_10000,5,0.7637860082304527
xiulinyang/GPT2_AR_10000,6,0.7720164609053498
xiulinyang/GPT2_AR_10000,7,0.762962962962963
xiulinyang/GPT2_AR_10000,8,0.7802469135802469
xiulinyang/GPT2_AR_10000,9,0.7876543209876543
xiulinyang/GPT2_AR_10000,10,0.7958847736625514
xiulinyang/GPT2_AR_20000,1,0.6707818930041153
xiulinyang/GPT2_AR_20000,2,0.7242798353909465
xiulinyang/GPT2_AR_20000,3,0.7415637860082305
xiulinyang/GPT2_AR_20000,4,0.7522633744855967
xiulinyang/GPT2_AR_20000,5,0.7703703703703704
xiulinyang/GPT2_AR_20000,6,0.762962962962963
xiulinyang/GPT2_AR_20000,7,0.7744855967078189
xiulinyang/GPT2_AR_20000,8,0.7909465020576132
xiulinyang/GPT2_AR_20000,9,0.7810699588477367
xiulinyang/GPT2_AR_20000,10,0.7901234567901234
xiulinyang/GPT2_AR_30000,1,0.6962962962962963
xiulinyang/GPT2_AR_30000,2,0.7407407407407407
xiulinyang/GPT2_AR_30000,3,0.7308641975308642
xiulinyang/GPT2_AR_30000,4,0.757201646090535
xiulinyang/GPT2_AR_30000,5,0.776954732510288
xiulinyang/GPT2_AR_30000,6,0.7744855967078189
xiulinyang/GPT2_AR_30000,7,0.77119341563786
xiulinyang/GPT2_AR_30000,8,0.7802469135802469
xiulinyang/GPT2_AR_30000,9,0.7909465020576132
xiulinyang/GPT2_AR_30000,10,0.7893004115226337
xiulinyang/GPT2_AR_5000,1,0.6888888888888889
xiulinyang/GPT2_AR_5000,2,0.7119341563786008
xiulinyang/GPT2_AR_5000,3,0.7176954732510288
xiulinyang/GPT2_AR_5000,4,0.7349794238683127
xiulinyang/GPT2_AR_5000,5,0.7530864197530864
xiulinyang/GPT2_AR_5000,6,0.7580246913580246
xiulinyang/GPT2_AR_5000,7,0.7744855967078189
xiulinyang/GPT2_AR_5000,8,0.7786008230452675
xiulinyang/GPT2_AR_5000,9,0.7917695473251029
xiulinyang/GPT2_AR_5000,10,0.7934156378600823
xiulinyang/GPT2_AR_50000,1,0.691358024691358
xiulinyang/GPT2_AR_50000,2,0.7119341563786008
xiulinyang/GPT2_AR_50000,3,0.7580246913580246
xiulinyang/GPT2_AR_50000,4,0.7777777777777778
xiulinyang/GPT2_AR_50000,5,0.7670781893004115
xiulinyang/GPT2_AR_50000,6,0.7925925925925926
xiulinyang/GPT2_AR_50000,7,0.7646090534979424
xiulinyang/GPT2_AR_50000,8,0.7703703703703704
xiulinyang/GPT2_AR_50000,9,0.776954732510288
xiulinyang/GPT2_AR_50000,10,0.7777777777777778
xiulinyang/GPT2_DE_10000,1,0.8059181897302001
xiulinyang/GPT2_DE_10000,2,0.8150565709312445
xiulinyang/GPT2_DE_10000,3,0.8128807658833769
xiulinyang/GPT2_DE_10000,4,0.820278503046127
xiulinyang/GPT2_DE_10000,5,0.8337684943429069
xiulinyang/GPT2_DE_10000,6,0.856396866840731
xiulinyang/GPT2_DE_10000,7,0.8598781549173194
xiulinyang/GPT2_DE_10000,8,0.876414273281114
xiulinyang/GPT2_DE_10000,9,0.8768494342906875
xiulinyang/GPT2_DE_10000,10,0.8829416884247171
xiulinyang/GPT2_DE_20000,1,0.7941688424717145
xiulinyang/GPT2_DE_20000,2,0.8102697998259356
xiulinyang/GPT2_DE_20000,3,0.8324630113141862
